StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Eta,Q2,Q2_3_TEXT,PSWQ_1,PSWQ_2,PSWQ_3,PSWQ_4,PSWQ_5,PSWQ_6,PSWQ_7,PSWQ_8,PSWQ_9,PSWQ_10,PSWQ_11,PSWQ_12,PSWQ_13,PSWQ_14,PSWQ_15,PSWQ_16
2026-03-30 12:53:33,2026-03-30 12:55:37,IP Address,78.212.15.26,100,123,True,2026-03-30 12:55:37,R_8ekQokBzL1ieq0x,,,,,43.1479,12.1097,anonymous,EN,18-25,Maschile,,3,2,4,2,2,1,2,4,1,5,3,2,1,3,2,4
2026-03-30 12:53:36,2026-03-30 12:55:39,IP Address,147.162.110.39,100,122,True,2026-03-30 12:55:39,R_2n0gy5eItGrLMfG,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,1,3,1,4,4,5,2,1,3,1,1,4,2,4,4,3
2026-03-30 12:53:50,2026-03-30 12:55:40,IP Address,109.55.15.210,100,109,True,2026-03-30 12:55:40,R_84hYI89CS7JD7tT,,,,,45.413,11.8806,anonymous,EN,26-40,Femminile,,2,4,1,4,4,4,3,3,4,1,4,2,4,2,1,2
2026-03-30 12:53:42,2026-03-30 12:55:51,IP Address,147.162.110.41,100,128,True,2026-03-30 12:55:51,R_2AJuPl8SZHzgj73,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,2,4,2,4,4,3,3,2,2,2,2,3,2,3,2,4
2026-03-30 12:53:36,2026-03-30 12:55:51,IP Address,78.209.205.160,100,135,True,2026-03-30 12:55:52,R_2Sc5hNvcJWxUhc6,,,,,43.1479,12.1097,anonymous,EN,18-25,Femminile,,2,5,2,5,5,4,3,2,4,2,3,4,4,4,3,4
2026-03-30 12:53:41,2026-03-30 12:55:52,IP Address,147.162.110.39,100,131,True,2026-03-30 12:55:53,R_2gNkXdI7tCGVBpg,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,2,2,3,2,2,3,2,4,2,2,3,2,2,1,1,4
2026-03-30 12:53:31,2026-03-30 12:55:53,IP Address,93.150.255.175,100,141,True,2026-03-30 12:55:53,R_2pDWDH24DcRkvuR,,,,,45.4322,11.9734,anonymous,EN,18-25,Femminile,,2,5,2,3,3,5,4,2,2,1,2,4,4,4,3,4
2026-03-30 12:53:42,2026-03-30 12:55:56,IP Address,147.162.110.41,100,134,True,2026-03-30 12:55:57,R_2ltCdsutFq1mt7W,,,,,45.413,11.8806,anonymous,EN,18-25,Maschile,,2,4,2,3,3,2,2,2,3,3,4,1,1,1,3,4
2026-03-30 12:53:30,2026-03-30 12:55:57,IP Address,151.68.49.165,100,146,True,2026-03-30 12:55:57,R_21vPpKWvfhjllpS,,,,,43.1479,12.1097,anonymous,EN,18-25,Maschile,,2,2,2,4,3,4,2,3,3,1,4,4,3,3,1,4
2026-03-30 12:53:39,2026-03-30 12:55:57,IP Address,147.162.110.41,100,138,True,2026-03-30 12:55:58,R_2E73Hi1NyYY7PyE,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,1,3,2,4,4,4,4,2,4,1,2,4,4,3,4,3
2026-03-30 12:53:26,2026-03-30 12:56:00,IP Address,151.82.238.40,100,154,True,2026-03-30 12:56:02,R_2f2taIdwF3rvyku,,,,,43.1479,12.1097,anonymous,EN,26-40,Maschile,,1,5,2,4,4,5,5,1,4,2,1,5,4,4,4,5
2026-03-30 12:53:29,2026-03-30 12:56:02,IP Address,5.179.185.183,100,153,True,2026-03-30 12:56:03,R_28IqS6i4REm2D43,,,,,43.1479,12.1097,anonymous,EN,18-25,Femminile,,2,3,2,3,3,1,2,3,4,1,2,1,2,2,1,3
2026-03-30 12:53:36,2026-03-30 12:56:03,IP Address,147.162.110.41,100,147,True,2026-03-30 12:56:04,R_8B9SZH9KbhLDFaF,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,1,3,2,4,4,5,2,2,4,2,1,4,2,3,2,4
2026-03-30 12:53:39,2026-03-30 12:56:03,IP Address,147.162.110.41,100,144,True,2026-03-30 12:56:04,R_2EzQjRFi21Vf47v,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,2,3,2,3,4,2,2,2,1,2,1,2,1,2,2,3
2026-03-30 12:53:55,2026-03-30 12:56:06,IP Address,172.225.145.120,100,131,True,2026-03-30 12:56:07,R_8SOobDC3QfLQBcB,,,,,44.4847,11.328,anonymous,EN,18-25,Femminile,,2,4,5,4,4,5,4,1,5,1,2,4,5,4,4,4
2026-03-30 12:54:17,2026-03-30 12:56:13,IP Address,93.150.239.235,100,115,True,2026-03-30 12:56:13,R_8I439dluBbE9htf,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,2,4,2,3,4,5,2,4,2,2,4,2,2,2,1,3
2026-03-30 12:53:29,2026-03-30 12:56:13,IP Address,78.210.176.34,100,163,True,2026-03-30 12:56:13,R_2W3GoVlxCEcrfih,,,,,43.1479,12.1097,anonymous,EN,18-25,Femminile,,1,3,1,3,3,4,5,1,4,1,1,5,5,4,3,5
2026-03-30 12:53:37,2026-03-30 12:56:14,IP Address,78.209.90.66,100,156,True,2026-03-30 12:56:14,R_8CmjPApqrYU0g1i,,,,,43.1479,12.1097,anonymous,EN,18-25,Femminile,,2,4,2,4,4,4,2,2,2,1,5,4,4,4,2,4
2026-03-30 12:53:30,2026-03-30 12:56:15,IP Address,93.150.250.189,100,165,True,2026-03-30 12:56:16,R_2iefh77ihnFSUFx,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,2,2,2,2,4,4,1,3,1,2,2,4,4,3,2,2
2026-03-30 12:53:36,2026-03-30 12:56:17,IP Address,147.162.110.39,100,160,True,2026-03-30 12:56:17,R_8O9uQpN4ZfelJGq,,,,,45.413,11.8806,anonymous,EN,18-25,Maschile,,4,1,3,2,1,2,1,4,2,3,5,2,1,2,2,3
2026-03-30 12:53:33,2026-03-30 12:56:20,IP Address,147.162.110.39,100,166,True,2026-03-30 12:56:20,R_8WHKeTr2UoPS1ot,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,1,3,1,4,4,4,4,1,4,1,1,5,5,3,5,5
2026-03-30 12:53:38,2026-03-30 12:56:19,IP Address,147.162.110.41,100,161,True,2026-03-30 12:56:20,R_2DAX83abWnXREJu,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,3,2,1,2,2,2,2,1,2,1,1,3,2,3,2,4
2026-03-30 12:53:40,2026-03-30 12:56:19,IP Address,147.162.110.41,100,159,True,2026-03-30 12:56:20,R_2rSLezR4UK7oLdQ,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,2,4,1,1,1,3,5,1,5,1,1,5,3,3,5,5
2026-03-30 12:54:23,2026-03-30 12:56:20,IP Address,151.18.18.162,100,116,True,2026-03-30 12:56:20,R_2EmyFjEaZNzGU2d,,,,,43.1479,12.1097,anonymous,EN,18-25,Maschile,,2,3,2,4,1,4,3,3,5,2,4,5,4,2,2,5
2026-03-30 12:53:47,2026-03-30 12:56:21,IP Address,94.32.33.82,100,153,True,2026-03-30 12:56:21,R_8Nbn4uUsewRh3U1,,,,,44.4847,11.328,anonymous,EN,18-25,Femminile,,4,4,3,2,4,4,1,3,3,2,2,3,2,2,3,5
2026-03-30 12:53:32,2026-03-30 12:56:22,IP Address,78.211.228.26,100,169,True,2026-03-30 12:56:23,R_82LU6hurQfqTr5m,,,,,43.1479,12.1097,anonymous,EN,18-25,Maschile,,2,2,2,2,3,4,1,3,3,2,4,2,2,2,2,3
2026-03-30 12:53:42,2026-03-30 12:56:22,IP Address,78.209.66.126,100,160,True,2026-03-30 12:56:23,R_2fGZtnN3D7F33I5,,,,,43.1479,12.1097,anonymous,EN,18-25,Maschile,,2,4,1,4,4,4,4,1,4,1,4,2,4,3,3,2
2026-03-30 12:53:59,2026-03-30 12:56:25,IP Address,147.162.110.41,100,145,True,2026-03-30 12:56:25,R_8h4kqog1ENOUM5m,,,,,45.413,11.8806,anonymous,EN,18-25,Maschile,,3,2,5,2,2,3,2,3,2,4,1,2,1,4,1,1
2026-03-30 12:54:01,2026-03-30 12:56:27,IP Address,147.162.110.39,100,145,True,2026-03-30 12:56:27,R_8mkFsCTvdQCcihm,,,,,45.413,11.8806,anonymous,EN,18-25,Maschile,,2,3,2,3,2,3,2,3,2,3,2,2,2,2,1,4
2026-03-30 12:53:30,2026-03-30 12:56:32,IP Address,147.162.110.41,100,181,True,2026-03-30 12:56:32,R_8qeAC0aKhpPMgwS,,,,,45.413,11.8806,anonymous,EN,18-25,Maschile,,3,2,3,2,3,4,2,3,2,2,4,4,2,2,2,3
2026-03-30 12:53:48,2026-03-30 12:56:36,IP Address,109.118.43.203,100,168,True,2026-03-30 12:56:36,R_2KeF91BrCv0hp2p,,,,,45.0729,7.689,anonymous,EN,18-25,Femminile,,2,3,1,3,2,4,3,2,1,2,5,2,2,1,3,4
2026-03-30 12:53:48,2026-03-30 12:56:37,IP Address,147.162.110.39,100,168,True,2026-03-30 12:56:37,R_2iDoRLMqEbjvzAA,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,2,4,3,4,3,5,2,3,1,1,4,4,4,2,1,1
2026-03-30 12:53:29,2026-03-30 12:56:41,IP Address,151.38.145.92,100,192,True,2026-03-30 12:56:42,R_2R95HTL1qI5Qvue,,,,,43.1479,12.1097,anonymous,EN,18-25,Femminile,,2,2,2,4,4,4,2,3,3,2,2,4,2,2,2,4
2026-03-30 12:53:57,2026-03-30 12:56:43,IP Address,147.162.110.39,100,165,True,2026-03-30 12:56:44,R_25j340fcbzooKrL,,,,,45.413,11.8806,anonymous,EN,18-25,Maschile,,2,4,2,4,4,4,3,2,3,1,3,4,4,3,3,3
2026-03-30 12:53:31,2026-03-30 12:56:47,IP Address,109.54.81.116,100,195,True,2026-03-30 12:56:47,R_8hMhywGn03sRTCh,,,,,45.413,11.8806,anonymous,EN,18-25,Maschile,,2,2,2,2,3,4,1,3,2,2,4,1,2,2,1,3
2026-03-30 12:53:30,2026-03-30 12:56:47,IP Address,147.162.110.41,100,197,True,2026-03-30 12:56:48,R_2tES6r3xSq42psQ,,,,,45.413,11.8806,anonymous,EN,18-25,Maschile,,2,2,2,2,2,4,2,3,1,3,4,2,1,2,1,4
2026-03-30 12:53:32,2026-03-30 12:56:51,IP Address,78.212.10.4,100,198,True,2026-03-30 12:56:52,R_2rBBqRiy8khrWaQ,,,,,43.1479,12.1097,anonymous,EN,18-25,Femminile,,2,3,1,2,3,4,2,2,1,1,2,3,3,3,2,3
2026-03-30 12:53:33,2026-03-30 12:56:59,IP Address,93.37.50.73,100,206,True,2026-03-30 12:57:00,R_8FagVphZnGF7cRP,,,,,45.413,11.8806,anonymous,EN,18-25,Maschile,,2,2,3,2,2,2,2,2,2,3,5,3,1,2,2,3
2026-03-30 12:55:07,2026-03-30 12:57:11,IP Address,151.38.39.209,100,124,True,2026-03-30 12:57:11,R_8q9JRKXt7tvk18X,,,,,45.4317,10.9859,anonymous,EN,18-25,Femminile,,2,4,1,5,5,5,5,2,4,1,1,5,5,5,5,4
2026-03-30 12:54:03,2026-03-30 12:57:21,IP Address,147.162.110.41,100,198,True,2026-03-30 12:57:22,R_2ly68VwD29vmhit,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,2,3,1,4,3,4,2,2,2,1,1,3,2,2,2,4
2026-03-30 12:55:14,2026-03-30 12:57:26,IP Address,147.162.110.39,100,131,True,2026-03-30 12:57:26,R_8hmrffVauhbSaGF,,,,,43.1479,12.1097,anonymous,EN,18-25,Maschile,,2,3,3,3,3,4,2,2,2,2,3,2,1,1,2,2
2026-03-30 12:53:36,2026-03-30 12:57:39,IP Address,5.77.71.143,100,242,True,2026-03-30 12:57:40,R_2MhlG6zf0Tf3I9X,,,,,43.1479,12.1097,anonymous,EN,26-40,Maschile,,3,2,4,2,2,2,2,3,2,3,2,2,2,2,2,2
2026-03-30 12:53:37,2026-03-30 12:57:57,IP Address,172.226.15.2,100,259,True,2026-03-30 12:57:57,R_2KuAXuVdwWZimxn,,,,,45.4722,9.1922,anonymous,EN,18-25,Femminile,,4,2,3,1,3,4,1,2,1,2,4,2,1,1,1,2
2026-03-30 12:56:08,2026-03-30 12:57:58,IP Address,147.162.110.41,100,110,True,2026-03-30 12:57:58,R_2eJITEmyUwW43hG,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,3,4,2,5,4,4,4,5,3,2,4,4,4,4,4,4
2026-03-30 12:53:48,2026-03-30 13:02:04,IP Address,78.213.105.222,100,496,True,2026-03-30 13:02:04,R_80fd6cNH0AJZRrY,,,,,43.1479,12.1097,anonymous,EN,18-25,Femminile,,1,1,5,1,1,1,1,5,1,4,1,1,1,1,1,1
